Stimulus,WordType,Prefix,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AW,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BW,BY,BZ,CA,CB,CC,CD,CE,CF,CG,CH,CI,CJ,CK,CL,CM,CN,CO,CP,CR,CS,CT,CU,CW,CY,DA,DB,DC,DD,DE,DF,DG,DH,DI,DJ,DK,DL,DM,DN,DO,DP,DR,DS,DT,DU,DW,DY,EA,EB,EC,ED,EE,EF,EG,EH,EI,EJ,EK,EL,EM,EN,EO,EP,ER,ES,ET,EU,EW,EY,FA,FB,FC,FD,FE,FF,FG
objasnit,standard,o,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
oblegchit,standard,o,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
oblusit,nonce,o,1,1,1,1,2,3,3,3,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,3,3,3,3,1,1,1,1,3,2,2,3,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,2,4,1,1,3,2,2,2,1,1,2,3,2,2,1,1,1,2,2,3,1,1,2,2,1,1,1,1,1,1,1,1,3,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,3,2,1,1,1,3,2,1,1,1,1,1
obmomlit,nonce,o,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,4,4,1,2,1,1,3,2,1,4,1,2,5,1,1,3,2,2,2,4,3,1,1,1,3,1,2,3,1,1,1,3,1,1,2,1,1,1,1,1,1,2,3,1,3,2,2,3,3,1,2,1,1,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,4,1,1,1,2,1,1,1,3,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,1
obogatit,standard,o,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,3,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
obytovit,marginal,o,3,3,2,2,1,3,4,1,2,3,3,2,2,2,3,2,2,1,3,2,2,1,3,2,4,5,1,3,3,5,3,2,3,1,3,2,2,1,3,1,1,1,2,1,1,4,2,2,1,1,3,1,1,3,1,1,3,1,1,2,2,2,3,2,3,1,2,1,2,1,4,2,1,3,2,3,1,3,1,2,4,2,1,2,5,2,1,3,1,1,1,4,1,3,1,1,4,1,1,1,2,4,1,4,1,1,2,3,1,3,2,2,2,1,3,2,3,2,3,3,2
ochavit,nonce,o,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,3,2,5,2,1,1,3,1,3,1,3,1,3,1,1,2,4,1,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,3,2,1,2,1,3,1,2,2,2,3,2,2,2,1,1,1,1,1,1,2,1,3,2,1,2,2,1,1,1,2,1,1,2,1,1,3,1,1,2,1,1,1,2,1,1,3,3,1,1,1,1,1,1,2,3,1,2,1,1,1,2,1,1,2,1,1
ogabit,nonce,o,2,3,1,1,1,1,3,2,2,3,1,5,1,1,1,3,3,3,1,2,1,3,1,1,1,3,1,1,1,1,1,5,5,3,5,4,1,1,5,5,1,1,5,1,1,1,2,3,1,1,1,2,1,1,2,2,1,5,1,2,3,3,2,3,1,1,1,2,2,1,1,1,1,1,1,1,3,3,1,3,3,1,1,1,1,1,1,2,1,1,3,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,3,1,1,2,2,5
ogolit,standard,o,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,4,2,5,5,4,5,5,4,4,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,2,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,3,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5
okochlit,nonce,o,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,3,2,1,1,1,1,2,1,1,2,4,3,4,2,2,1,1,2,2,2,1,3,1,1,3,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,3,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,3,2,2,1,1,3,1,1,1,2,2,1
