stimulus,translation_ru,stimulus_source,s_1,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9
ala,крышка,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
ʁan,лепешка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
antena,антенна,loan,r,r,r,r,r,r,r,r,b,r,r,r,b,r,b,r
anzi,снег,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
aptsʲeka,аптека,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
arkom,ложка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
ʁats'a,кузнечик,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
awʔal,орех,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
awʔara,шапка,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
banan,банан,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
bank,банк,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
batarejka,батарейка,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
beʒun,игла,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
bil,гора,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
bilet,билет,loan,r,r,r,r,r,r,r,r,r,r,r,r,b,r,r,r
bint,бинт,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
dunɡil,яма,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
dʒinsɨ,джинсы,loan,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
ɬen,вода,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
"ʔʷen, ʁʷen",рог,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
enʃːur,мука,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
esemeska,смска,loan,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
haq'u,комната,native,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r
hark'u,глаз,native,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
